Date : 2025-06-17 17:38:42
Directory : c:\laragon\www\commerce-app
Total : 157 files,  35140 codes, 1551 comments, 3341 blanks, all 40032 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| resources\js                                                                                                         |          2 |          4 |         23 |          8 |         35 |
| resources\views                                                                                                      |         48 |     20,509 |        202 |      2,314 |     23,025 |
| resources\views (Files)                                                                                              |         12 |      5,179 |         53 |        663 |      5,895 |
| resources\views\auth                                                                                                 |         10 |      2,899 |         14 |        386 |      3,299 |
| resources\views\complaints                                                                                           |          2 |        725 |          1 |         88 |        814 |
| resources\views\layouts                                                                                              |          1 |        871 |         12 |        120 |      1,003 |
| resources\views\vendor                                                                                               |          7 |      2,605 |         29 |        268 |      2,902 |
| resources\views\vendor (Files)                                                                                       |          4 |      2,067 |         29 |        197 |      2,293 |
| resources\views\vendor2                                                                                              |          8 |      4,385 |         49 |        405 |      4,839 |
| resources\views\vendor2 (Files)                                                                                      |          7 |      4,198 |         49 |        385 |      4,632 |
| resources\views\vendor2\products                                                                                     |          1 |        187 |          0 |         20 |        207 |
| resources\views\vendor3                                                                                              |          8 |      3,845 |         44 |        384 |      4,273 |
| resources\views\vendor3 (Files)                                                                                      |          7 |      3,633 |         44 |        364 |      4,041 |
| resources\views\vendor3\products                                                                                     |          1 |        212 |          0 |         20 |        232 |
| resources\views\vendor\products                                                                                      |          3 |        538 |          0 |         71 |        609 |
| routes                                                                                                               |          4 |        191 |         83 |         64 |        338 |
| tests                                                                                                                |          4 |         41 |         10 |         19 |         70 |
| tests (Files)                                                                                                        |          2 |         20 |          3 |         10 |         33 |
| tests\Feature                                                                                                        |          1 |         11 |          4 |          5 |         20 |
| tests\Unit                                                                                                           |          1 |         10 |          3 |          4 |         17 |
| vendor                                                                                                               |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie                                                                                                        |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition                                                                                               |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources                                                                                     |          2 |          7 |          2 |          1 |         10 |
| vendor\spatie\ignition\resources\compiled                                                                            |          2 |          7 |          2 |          1 |         10 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                             | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\laragon\www\commerce-app\README.md                                                                                | Markdown   |         45 |          0 |         22 |         67 |
| c:\laragon\www\commerce-app\app\Console\Kernel.php                                                                   | PHP        |         15 |          7 |          6 |         28 |
| c:\laragon\www\commerce-app\app\Exceptions\Handler.php                                                               | PHP        |         17 |          9 |          5 |         31 |
| c:\laragon\www\commerce-app\app\Http\Controllers\AdminLoginController.php                                            | PHP        |         19 |          0 |          7 |         26 |
| c:\laragon\www\commerce-app\app\Http\Controllers\Auth\ForgotPasswordController.php                                   | PHP        |         77 |          4 |         20 |        101 |
| c:\laragon\www\commerce-app\app\Http\Controllers\Auth\LoginController.php                                            | PHP        |         30 |          0 |          8 |         38 |
| c:\laragon\www\commerce-app\app\Http\Controllers\Auth\RegisterController.php                                         | PHP        |         27 |          0 |          7 |         34 |
| c:\laragon\www\commerce-app\app\Http\Controllers\CartController.php                                                  | PHP        |        159 |          8 |         24 |        191 |
| c:\laragon\www\commerce-app\app\Http\Controllers\CheckoutController.php                                              | PHP        |        122 |         11 |         25 |        158 |
| c:\laragon\www\commerce-app\app\Http\Controllers\ComplaintController.php                                             | PHP        |         78 |          5 |         23 |        106 |
| c:\laragon\www\commerce-app\app\Http\Controllers\Controller.php                                                      | PHP        |          9 |          0 |          4 |         13 |
| c:\laragon\www\commerce-app\app\Http\Controllers\OrderController.php                                                 | PHP        |         24 |          4 |          9 |         37 |
| c:\laragon\www\commerce-app\app\Http\Controllers\ProfileController.php                                               | PHP        |         26 |          1 |          9 |         36 |
| c:\laragon\www\commerce-app\app\Http\Controllers\Vendor2DashboardController.php                                      | PHP        |        130 |          2 |         34 |        166 |
| c:\laragon\www\commerce-app\app\Http\Controllers\Vendor2\DashboardController.php                                     | PHP        |         28 |          0 |         11 |         39 |
| c:\laragon\www\commerce-app\app\Http\Controllers\Vendor3Controller.php                                               | PHP        |         93 |          7 |         21 |        121 |
| c:\laragon\www\commerce-app\app\Http\Controllers\Vendor3DashboardController.php                                      | PHP        |        122 |          1 |         31 |        154 |
| c:\laragon\www\commerce-app\app\Http\Controllers\VendorController.php                                                | PHP        |         10 |          0 |          4 |         14 |
| c:\laragon\www\commerce-app\app\Http\Controllers\VendorDashboardController.php                                       | PHP        |        339 |          5 |         72 |        416 |
| c:\laragon\www\commerce-app\app\Http\Controllers\VendorLoginController.php                                           | PHP        |         88 |          0 |         22 |        110 |
| c:\laragon\www\commerce-app\app\Http\Controllers\WishlistController.php                                              | PHP        |        114 |          6 |         16 |        136 |
| c:\laragon\www\commerce-app\app\Http\Kernel.php                                                                      | PHP        |         45 |         29 |          8 |         82 |
| c:\laragon\www\commerce-app\app\Http\Middleware\Authenticate.php                                                     | PHP        |         11 |          3 |          4 |         18 |
| c:\laragon\www\commerce-app\app\Http\Middleware\EncryptCookies.php                                                   | PHP        |          8 |          6 |          4 |         18 |
| c:\laragon\www\commerce-app\app\Http\Middleware\PreventRequestsDuringMaintenance.php                                 | PHP        |          8 |          6 |          4 |         18 |
| c:\laragon\www\commerce-app\app\Http\Middleware\RedirectIfAuthenticated.php                                          | PHP        |         20 |          2 |          5 |         27 |
| c:\laragon\www\commerce-app\app\Http\Middleware\TrimStrings.php                                                      | PHP        |         11 |          5 |          4 |         20 |
| c:\laragon\www\commerce-app\app\Http\Middleware\TrustHosts.php                                                       | PHP        |         12 |          5 |          4 |         21 |
| c:\laragon\www\commerce-app\app\Http\Middleware\TrustProxies.php                                                     | PHP        |         14 |         10 |          5 |         29 |
| c:\laragon\www\commerce-app\app\Http\Middleware\ValidateSignature.php                                                | PHP        |          8 |         11 |          4 |         23 |
| c:\laragon\www\commerce-app\app\Http\Middleware\VendorMiddleware.php                                                 | PHP        |         14 |          0 |          5 |         19 |
| c:\laragon\www\commerce-app\app\Http\Middleware\VerifyCsrfToken.php                                                  | PHP        |          8 |          6 |          4 |         18 |
| c:\laragon\www\commerce-app\app\Models\Admin.php                                                                     | PHP        |         16 |          0 |          6 |         22 |
| c:\laragon\www\commerce-app\app\Models\Complaint.php                                                                 | PHP        |         28 |          0 |          7 |         35 |
| c:\laragon\www\commerce-app\app\Models\Coupon.php                                                                    | PHP        |          7 |          0 |          4 |         11 |
| c:\laragon\www\commerce-app\app\Models\Order.php                                                                     | PHP        |         14 |          2 |          6 |         22 |
| c:\laragon\www\commerce-app\app\Models\Product.php                                                                   | PHP        |         12 |          0 |          4 |         16 |
| c:\laragon\www\commerce-app\app\Models\User.php                                                                      | PHP        |         26 |          0 |          8 |         34 |
| c:\laragon\www\commerce-app\app\Models\Vendor.php                                                                    | PHP        |         17 |          0 |          5 |         22 |
| c:\laragon\www\commerce-app\app\Models\VendorLogIn.php                                                               | PHP        |         17 |          0 |          6 |         23 |
| c:\laragon\www\commerce-app\app\Providers\AppServiceProvider.php                                                     | PHP        |         12 |          8 |          5 |         25 |
| c:\laragon\www\commerce-app\app\Providers\AuthServiceProvider.php                                                    | PHP        |         11 |         11 |          5 |         27 |
| c:\laragon\www\commerce-app\app\Providers\BroadcastServiceProvider.php                                               | PHP        |         12 |          3 |          5 |         20 |
| c:\laragon\www\commerce-app\app\Providers\EventServiceProvider.php                                                   | PHP        |         21 |         12 |          6 |         39 |
| c:\laragon\www\commerce-app\app\Providers\RouteServiceProvider.php                                                   | PHP        |         24 |         10 |          7 |         41 |
| c:\laragon\www\commerce-app\bootstrap\app.php                                                                        | PHP        |         17 |         30 |          9 |         56 |
| c:\laragon\www\commerce-app\composer.json                                                                            | JSON       |         67 |          0 |          1 |         68 |
| c:\laragon\www\commerce-app\composer.lock                                                                            | JSON       |     10,618 |          0 |          1 |     10,619 |
| c:\laragon\www\commerce-app\config\app.php                                                                           | PHP        |         27 |        131 |         31 |        189 |
| c:\laragon\www\commerce-app\config\auth.php                                                                          | PHP        |         44 |         74 |         14 |        132 |
| c:\laragon\www\commerce-app\config\broadcasting.php                                                                  | PHP        |         36 |         23 |         13 |         72 |
| c:\laragon\www\commerce-app\config\cache.php                                                                         | PHP        |         59 |         34 |         19 |        112 |
| c:\laragon\www\commerce-app\config\cors.php                                                                          | PHP        |         11 |         12 |         12 |         35 |
| c:\laragon\www\commerce-app\config\database.php                                                                      | PHP        |         83 |         47 |         22 |        152 |
| c:\laragon\www\commerce-app\config\filesystems.php                                                                   | PHP        |         32 |         32 |         13 |         77 |
| c:\laragon\www\commerce-app\config\hashing.php                                                                       | PHP        |         14 |         32 |          9 |         55 |
| c:\laragon\www\commerce-app\config\insights.php                                                                      | PHP        |         47 |         75 |         19 |        141 |
| c:\laragon\www\commerce-app\config\logging.php                                                                       | PHP        |         79 |         34 |         19 |        132 |
| c:\laragon\www\commerce-app\config\mail.php                                                                          | PHP        |         61 |         54 |         20 |        135 |
| c:\laragon\www\commerce-app\config\queue.php                                                                         | PHP        |         51 |         42 |         17 |        110 |
| c:\laragon\www\commerce-app\config\sanctum.php                                                                       | PHP        |         17 |         53 |         14 |         84 |
| c:\laragon\www\commerce-app\config\services.php                                                                      | PHP        |         17 |         11 |          7 |         35 |
| c:\laragon\www\commerce-app\config\session.php                                                                       | PHP        |         23 |        157 |         35 |        215 |
| c:\laragon\www\commerce-app\config\view.php                                                                          | PHP        |         10 |         20 |          7 |         37 |
| c:\laragon\www\commerce-app\database\factories\UserFactory.php                                                       | PHP        |         25 |         14 |          6 |         45 |
| c:\laragon\www\commerce-app\database\migrations\2014_10_12_000000_create_users_table.php                             | PHP        |         28 |          6 |          3 |         37 |
| c:\laragon\www\commerce-app\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php             | PHP        |         19 |          6 |          4 |         29 |
| c:\laragon\www\commerce-app\database\migrations\2019_08_19_000000_create_failed_jobs_table.php                       | PHP        |         23 |          6 |          4 |         33 |
| c:\laragon\www\commerce-app\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php            | PHP        |         24 |          6 |          4 |         34 |
| c:\laragon\www\commerce-app\database\migrations\2023_03_21_042848_create_vendors_table.php                           | PHP        |         29 |          6 |          5 |         40 |
| c:\laragon\www\commerce-app\database\migrations\2023_03_21_093706_create_products_table.php                          | PHP        |         38 |          6 |          5 |         49 |
| c:\laragon\www\commerce-app\database\migrations\2023_04_04_094057_create_coupons_table.php                           | PHP        |         28 |          6 |          4 |         38 |
| c:\laragon\www\commerce-app\database\migrations\2023_04_05_075356_create_user_addresses_table.php                    | PHP        |         27 |          6 |          4 |         37 |
| c:\laragon\www\commerce-app\database\migrations\2023_04_13_071626_create_orders_table.php                            | PHP        |         34 |          6 |          4 |         44 |
| c:\laragon\www\commerce-app\database\migrations\2023_04_13_073423_create_order_products_table.php                    | PHP        |         26 |          6 |          5 |         37 |
| c:\laragon\www\commerce-app\database\migrations\2023_04_27_093629_create_email_configurations_table.php              | PHP        |         24 |          6 |          5 |         35 |
| c:\laragon\www\commerce-app\database\migrations\2023_04_27_otp_table.php                                             | PHP        |         21 |          6 |          4 |         31 |
| c:\laragon\www\commerce-app\database\migrations\2023_04_30_041753_create_product_reviews_table.php                   | PHP        |         24 |          6 |          5 |         35 |
| c:\laragon\www\commerce-app\database\migrations\2024_01_15_000000_create_complaints_table.php                        | PHP        |         29 |          0 |          4 |         33 |
| c:\laragon\www\commerce-app\database\migrations\2024_06_09_000000_create_vendor_log_in_table.php                     | PHP        |         21 |          0 |          4 |         25 |
| c:\laragon\www\commerce-app\database\migrations\2025_06_14_111349_add_email_and_notes_to_orders_table.php            | PHP        |         17 |          8 |          4 |         29 |
| c:\laragon\www\commerce-app\database\migrations\2025_06_14_111509_add_email_and_notes_to_orders_table.php            | PHP        |         17 |          8 |          4 |         29 |
| c:\laragon\www\commerce-app\database\migrations\2025_06_14_112134_add_email_notes_and_print_file_to_orders_table.php | PHP        |         17 |          8 |          4 |         29 |
| c:\laragon\www\commerce-app\database\migrations\2025_06_15_062052_create_complaints_table.php                        | PHP        |         18 |          6 |          4 |         28 |
| c:\laragon\www\commerce-app\database\migrations\[timestamp]_add_email_and_notes_to_orders_table.php                  | PHP        |         21 |          0 |          4 |         25 |
| c:\laragon\www\commerce-app\database\migrations\[timestamp]_add_email_notes_and_print_file_to_orders_table.php       | PHP        |         19 |          0 |          5 |         24 |
| c:\laragon\www\commerce-app\database\seeders\DatabaseSeeder.php                                                      | PHP        |         14 |         10 |          5 |         29 |
| c:\laragon\www\commerce-app\database\seeders\ProductSeeder.php                                                       | PHP        |         49 |          0 |          4 |         53 |
| c:\laragon\www\commerce-app\database\seeders\RichiamoProductSeeder.php                                               | PHP        |        133 |          4 |         11 |        148 |
| c:\laragon\www\commerce-app\database\seeders\SetepakProductsSeeder.php                                               | PHP        |        251 |          3 |          6 |        260 |
| c:\laragon\www\commerce-app\database\seeders\VendorLogInSeeder.php                                                   | PHP        |         23 |          0 |          6 |         29 |
| c:\laragon\www\commerce-app\database\seeders\VendorSeeder.php                                                        | PHP        |         61 |          0 |          4 |         65 |
| c:\laragon\www\commerce-app\package.json                                                                             | JSON       |         13 |          0 |          1 |         14 |
| c:\laragon\www\commerce-app\phpunit.xml                                                                              | XML        |         30 |          2 |          1 |         33 |
| c:\laragon\www\commerce-app\public\index.php                                                                         | PHP        |         14 |         30 |         12 |         56 |
| c:\laragon\www\commerce-app\resources\css\app.css                                                                    | PostCSS    |          0 |          0 |          1 |          1 |
| c:\laragon\www\commerce-app\resources\js\app.js                                                                      | JavaScript |          1 |          0 |          1 |          2 |
| c:\laragon\www\commerce-app\resources\js\bootstrap.js                                                                | JavaScript |          3 |         23 |          7 |         33 |
| c:\laragon\www\commerce-app\resources\views\About-us.blade.php                                                       | PHP        |        588 |          5 |         87 |        680 |
| c:\laragon\www\commerce-app\resources\views\Check-out.blade.php                                                      | PHP        |        522 |         11 |         59 |        592 |
| c:\laragon\www\commerce-app\resources\views\Contact.blade.php                                                        | PHP        |        536 |          5 |         80 |        621 |
| c:\laragon\www\commerce-app\resources\views\Privacy-pol.blade.php                                                    | PHP        |        484 |          5 |         69 |        558 |
| c:\laragon\www\commerce-app\resources\views\Terms-con.blade.php                                                      | PHP        |        525 |          5 |         77 |        607 |
| c:\laragon\www\commerce-app\resources\views\Wishlist.blade.php                                                       | PHP        |        270 |         10 |         25 |        305 |
| c:\laragon\www\commerce-app\resources\views\auth\admin-login.blade.php                                               | PHP        |        310 |          1 |         40 |        351 |
| c:\laragon\www\commerce-app\resources\views\auth\forgot-password.blade.php                                           | PHP        |        290 |          0 |         40 |        330 |
| c:\laragon\www\commerce-app\resources\views\auth\login.blade.php                                                     | PHP        |        329 |          1 |         39 |        369 |
| c:\laragon\www\commerce-app\resources\views\auth\register.blade.php                                                  | PHP        |        243 |          4 |         30 |        277 |
| c:\laragon\www\commerce-app\resources\views\auth\reset-password.blade.php                                            | PHP        |        328 |          7 |         47 |        382 |
| c:\laragon\www\commerce-app\resources\views\auth\vendor-login-richiamo.blade.php                                     | PHP        |        265 |          0 |         36 |        301 |
| c:\laragon\www\commerce-app\resources\views\auth\vendor-login-setepak.blade.php                                      | PHP        |        266 |          0 |         36 |        302 |
| c:\laragon\www\commerce-app\resources\views\auth\vendor-login-utm-mart.blade.php                                     | PHP        |        265 |          0 |         36 |        301 |
| c:\laragon\www\commerce-app\resources\views\auth\vendor-login.blade.php                                              | PHP        |        313 |          1 |         41 |        355 |
| c:\laragon\www\commerce-app\resources\views\auth\vendor-select.blade.php                                             | PHP        |        290 |          0 |         41 |        331 |
| c:\laragon\www\commerce-app\resources\views\checkout-confirmation.blade.php                                          | PHP        |        293 |          0 |         41 |        334 |
| c:\laragon\www\commerce-app\resources\views\complaints\index.blade.php                                               | PHP        |        356 |          1 |         45 |        402 |
| c:\laragon\www\commerce-app\resources\views\complaints\my-complaints.blade.php                                       | PHP        |        369 |          0 |         43 |        412 |
| c:\laragon\www\commerce-app\resources\views\home.blade.php                                                           | PHP        |        808 |          6 |        116 |        930 |
| c:\laragon\www\commerce-app\resources\views\layouts\app.blade.php                                                    | PHP        |        871 |         12 |        120 |      1,003 |
| c:\laragon\www\commerce-app\resources\views\orders.blade.php                                                         | PHP        |        384 |          1 |         21 |        406 |
| c:\laragon\www\commerce-app\resources\views\profile.blade.php                                                        | PHP        |        317 |          2 |         51 |        370 |
| c:\laragon\www\commerce-app\resources\views\richiamo.blade.php                                                       | PHP        |        341 |          3 |         14 |        358 |
| c:\laragon\www\commerce-app\resources\views\vendor2\Check-out.blade.php                                              | PHP        |        506 |          8 |         57 |        571 |
| c:\laragon\www\commerce-app\resources\views\vendor2\Wishlist.blade.php                                               | PHP        |        270 |         10 |         25 |        305 |
| c:\laragon\www\commerce-app\resources\views\vendor2\checkout-confirmation.blade.php                                  | PHP        |        290 |          0 |         38 |        328 |
| c:\laragon\www\commerce-app\resources\views\vendor2\dashboard-caffe.blade.php                                        | PHP        |        885 |         13 |         42 |        940 |
| c:\laragon\www\commerce-app\resources\views\vendor2\index.blade.php                                                  | PHP        |      1,933 |         14 |        188 |      2,135 |
| c:\laragon\www\commerce-app\resources\views\vendor2\product-form.blade.php                                           | PHP        |        162 |          4 |         21 |        187 |
| c:\laragon\www\commerce-app\resources\views\vendor2\products.blade.php                                               | PHP        |        152 |          0 |         14 |        166 |
| c:\laragon\www\commerce-app\resources\views\vendor2\products\index.blade.php                                         | PHP        |        187 |          0 |         20 |        207 |
| c:\laragon\www\commerce-app\resources\views\vendor3\Check-out.blade.php                                              | PHP        |        532 |          2 |         63 |        597 |
| c:\laragon\www\commerce-app\resources\views\vendor3\Wishlist.blade.php                                               | PHP        |        270 |         10 |         25 |        305 |
| c:\laragon\www\commerce-app\resources\views\vendor3\checkout-confirmation.blade.php                                  | PHP        |        296 |          0 |         39 |        335 |
| c:\laragon\www\commerce-app\resources\views\vendor3\dashboard-setepak.blade.php                                      | PHP        |        857 |         12 |         38 |        907 |
| c:\laragon\www\commerce-app\resources\views\vendor3\index.blade.php                                                  | PHP        |      1,364 |         16 |        164 |      1,544 |
| c:\laragon\www\commerce-app\resources\views\vendor3\product-form.blade.php                                           | PHP        |        162 |          4 |         21 |        187 |
| c:\laragon\www\commerce-app\resources\views\vendor3\products.blade.php                                               | PHP        |        152 |          0 |         14 |        166 |
| c:\laragon\www\commerce-app\resources\views\vendor3\products\index.blade.php                                         | PHP        |        212 |          0 |         20 |        232 |
| c:\laragon\www\commerce-app\resources\views\vendor\dashboard-utm-mart.blade.php                                      | PHP        |        884 |         13 |         42 |        939 |
| c:\laragon\www\commerce-app\resources\views\vendor\index.blade.php                                                   | PHP        |        869 |         12 |        120 |      1,001 |
| c:\laragon\www\commerce-app\resources\views\vendor\product-form.blade.php                                            | PHP        |        162 |          4 |         21 |        187 |
| c:\laragon\www\commerce-app\resources\views\vendor\products.blade.php                                                | PHP        |        152 |          0 |         14 |        166 |
| c:\laragon\www\commerce-app\resources\views\vendor\products\create.blade.php                                         | PHP        |        168 |          0 |         25 |        193 |
| c:\laragon\www\commerce-app\resources\views\vendor\products\edit.blade.php                                           | PHP        |        183 |          0 |         26 |        209 |
| c:\laragon\www\commerce-app\resources\views\vendor\products\index.blade.php                                          | PHP        |        187 |          0 |         20 |        207 |
| c:\laragon\www\commerce-app\resources\views\welcome.blade.php                                                        | PHP        |        111 |          0 |         23 |        134 |
| c:\laragon\www\commerce-app\routes\api.php                                                                           | PHP        |          6 |         10 |          4 |         20 |
| c:\laragon\www\commerce-app\routes\channels.php                                                                      | PHP        |          5 |         10 |          4 |         19 |
| c:\laragon\www\commerce-app\routes\console.php                                                                       | PHP        |          6 |         10 |          4 |         20 |
| c:\laragon\www\commerce-app\routes\web.php                                                                           | PHP        |        174 |         53 |         52 |        279 |
| c:\laragon\www\commerce-app\tests\CreatesApplication.php                                                             | PHP        |         13 |          3 |          6 |         22 |
| c:\laragon\www\commerce-app\tests\Feature\ExampleTest.php                                                            | PHP        |         11 |          4 |          5 |         20 |
| c:\laragon\www\commerce-app\tests\TestCase.php                                                                       | PHP        |          7 |          0 |          4 |         11 |
| c:\laragon\www\commerce-app\tests\Unit\ExampleTest.php                                                               | PHP        |         10 |          3 |          4 |         17 |
| c:\laragon\www\commerce-app\vendor\spatie\ignition\resources\compiled\ignition.css                                   | PostCSS    |          1 |          2 |          0 |          3 |
| c:\laragon\www\commerce-app\vendor\spatie\ignition\resources\compiled\ignition.js                                    | JavaScript |          6 |          0 |          1 |          7 |
| c:\laragon\www\commerce-app\vite.config.js                                                                           | JavaScript |         10 |          0 |          2 |         12 |
| Total                                                                                                                |            |     35,140 |      1,551 |      3,341 |     40,032 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
